HR4000_03_08_2023_13h58min08s spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 780.0
195.93414 768.0
196.93414 759.0
197.93414 768.0
198.93414 791.0
199.93414 792.0
200.93414 793.0
201.93414 792.0
202.93414 796.0
203.93414 805.0
204.93414 801.0
205.93414 805.0
206.93414 797.0
207.93414 795.0
208.93414 793.0
209.93414 806.0
210.93414 802.0
211.93414 793.0
212.93414 799.0
213.93414 801.0
214.93414 801.0
215.93414 795.0
216.93414 802.0
217.93414 792.0
218.93414 811.0
219.93414 807.0
220.93414 823.0
221.93414 804.0
222.93414 805.0
223.93414 793.0
224.93414 795.0
225.93414 791.0
226.93414 808.0
227.93414 809.0
228.93414 787.0
229.93414 806.0
230.93414 811.0
231.93414 804.0
232.93414 795.0
233.93414 808.0
234.93414 803.0
235.93414 803.0
236.93414 801.0
237.93414 807.0
238.93414 803.0
239.93414 810.0
240.93414 818.0
241.93414 815.0
242.93414 793.0
243.93414 816.0
244.93414 791.0
245.93414 827.0
246.93414 788.0
247.93414 802.0
248.93414 809.0
249.93414 801.0
250.93414 812.0
251.93414 804.0
252.93414 794.0
253.93414 795.0
254.93414 800.0
255.93414 796.0
256.93414 814.0
257.93414 802.0
258.93414 794.0
259.93414 805.0
260.93414 797.0
261.93414 812.0
262.93414 818.0
263.93414 815.0
264.93414 801.0
265.93414 808.0
266.93414 807.0
267.93414 806.0
268.93414 804.0
269.93414 786.0
270.93414 805.0
271.93414 798.0
272.93414 796.0
273.93414 807.0
274.93414 798.0
275.93414 804.0
276.93414 793.0
277.93414 802.0
278.93414 807.0
279.93414 799.0
280.93414 790.0
281.93414 796.0
282.93414 801.0
283.93414 791.0
284.93414 801.0
285.93414 793.0
286.93414 809.0
287.93414 807.0
288.93414 803.0
289.93414 811.0
290.93414 794.0
291.93414 805.0
292.93414 780.0
293.93414 788.0
294.93414 818.0
295.93414 800.0
296.93414 802.0
297.93414 795.0
298.93414 809.0
299.93414 814.0
300.93414 815.0
301.93414 797.0
302.93414 802.0
303.93414 805.0
304.93414 809.0
305.93414 798.0
306.93414 817.0
307.93414 813.0
308.93414 807.0
309.93414 780.0
310.93414 803.0
311.93414 804.0
312.93414 794.0
313.93414 799.0
314.93414 824.0
315.93414 813.0
316.93414 810.0
317.93414 793.0
318.93414 802.0
319.93414 804.0
320.93414 806.0
321.93414 794.0
322.93414 807.0
323.93414 804.0
324.93414 807.0
325.93414 811.0
326.93414 810.0
327.93414 806.0
328.93414 804.0
329.93414 814.0
330.93414 821.0
331.93414 798.0
332.93414 795.0
333.93414 787.0
334.93414 796.0
335.93414 789.0
336.93414 785.0
337.93414 805.0
338.93414 815.0
339.93414 782.0
340.93414 800.0
341.93414 803.0
342.93414 801.0
343.93414 810.0
344.93414 811.0
345.93414 796.0
346.93414 803.0
347.93414 816.0
348.93414 801.0
349.93414 797.0
350.93414 799.0
351.93414 824.0
352.93414 794.0
353.93414 807.0
354.93414 788.0
355.93414 801.0
356.93414 790.0
357.93414 783.0
358.93414 809.0
359.93414 814.0
360.93414 809.0
361.93414 801.0
362.93414 802.0
363.93414 801.0
364.93414 803.0
365.93414 806.0
366.93414 801.0
367.93414 789.0
368.93414 793.0
369.93414 792.0
370.93414 810.0
371.93414 797.0
372.93414 804.0
373.93414 809.0
374.93414 809.0
375.93414 827.0
376.93414 793.0
377.93414 804.0
378.93414 812.0
379.93414 812.0
380.93414 800.0
381.93414 801.0
382.93414 811.0
383.93414 810.0
384.93414 804.0
385.93414 796.0
386.93414 796.0
387.93414 816.0
388.93414 813.0
389.93414 800.0
390.93414 793.0
391.93414 803.0
392.93414 806.0
393.93414 801.0
394.93414 792.0
395.93414 809.0
396.93414 793.0
397.93414 796.0
398.93414 804.0
399.93414 802.0
400.93414 807.0
401.93414 819.0
402.93414 804.0
403.93414 804.0
404.93414 805.0
405.93414 808.0
406.93414 803.0
407.93414 809.0
408.93414 789.0
409.93414 802.0
410.93414 798.0
411.93414 808.0
412.93414 800.0
413.93414 797.0
414.93414 799.0
415.93414 814.0
416.93414 789.0
417.93414 792.0
418.93414 804.0
419.93414 794.0
420.93414 804.0
421.93414 793.0
422.93414 788.0
423.93414 790.0
424.93414 795.0
425.93414 794.0
426.93414 794.0
427.93414 798.0
428.93414 810.0
429.93414 805.0
430.93414 816.0
431.93414 796.0
432.93414 804.0
433.93414 808.0
434.93414 800.0
435.93414 808.0
436.93414 809.0
437.93414 810.0
438.93414 810.0
439.93414 796.0
440.93414 800.0
441.93414 800.0
442.93414 809.0
443.93414 791.0
444.93414 806.0
445.93414 803.0
446.93414 808.0
447.93414 792.0
448.93414 793.0
449.93414 801.0
450.93414 799.0
451.93414 809.0
452.93414 806.0
453.93414 804.0
454.93414 790.0
455.93414 796.0
456.93414 797.0
